timestamp,robot_name,position_error,yaw_error_deg
0,robot2,-1.72501,1.20287
0,robot1,-0.725998,38.2895
0,robot3,-2.72698,1.22325
0,robot3,-2.72698,1.22325
0,robot1,-0.725998,38.2895
0,robot2,-1.72501,1.20287
0,robot2,-1.72501,1.20287
0,robot1,-0.726,38.2895
0,robot3,-2.72698,1.22325
0,robot3,-2.72698,1.22325
0,robot1,-0.726,38.2895
0,robot2,-1.72501,1.20287
0,robot2,-1.72501,1.20287
0,robot1,-0.726,38.2895
0,robot3,-2.72698,1.22325
0,robot3,-2.72698,1.22325
0,robot1,-0.726,38.2895
0,robot2,-1.72501,1.20287
0,robot2,-1.72501,1.20287
0,robot1,-0.726,38.2895
0,robot3,-2.72698,1.22325
0,robot3,-2.72698,1.22325
175.7,robot1,-0.726006,38.2895
175.7,robot2,-1.725,1.20245
175.7,robot2,-1.725,1.20245
175.7,robot1,-0.726006,38.2895
175.7,robot3,-2.72699,1.22385
175.7,robot3,-2.72699,1.22385
175.7,robot1,-0.726006,38.2895
175.7,robot2,-1.725,1.20245
175.7,robot2,-1.725,1.20245
175.7,robot1,-0.726006,38.2895
175.7,robot3,-2.72699,1.22385
175.7,robot3,-2.72699,1.22385
175.7,robot1,-0.726006,38.2895
175.7,robot2,-1.725,1.20245
175.7,robot2,-1.725,1.20245
175.7,robot1,-0.726006,38.2895
175.7,robot3,-2.72699,1.22385
175.7,robot3,-2.72699,1.22385
175.7,robot1,-0.726006,38.2895
175.7,robot2,-1.725,1.20245
175.7,robot2,-1.725,1.20245
175.7,robot1,-0.726006,38.2895
175.7,robot3,-2.72699,1.22385
175.7,robot3,-2.72698,1.2247
175.7,robot1,-0.726006,38.2895
175.7,robot2,-1.725,1.20245
175.7,robot2,-1.725,1.20245
175.7,robot1,-0.726006,38.2895
175.7,robot3,-2.72698,1.2247
175.7,robot3,-2.72698,1.2247
175.7,robot1,-0.726006,38.2895
175.7,robot2,-1.725,1.20245
175.7,robot2,-1.725,1.20245
175.7,robot1,-0.726006,38.2895
175.7,robot3,-2.72698,1.2247
175.7,robot3,-2.72698,1.2247
175.7,robot1,-0.726006,38.2895
175.7,robot2,-1.725,1.20245
175.7,robot2,-1.72501,1.2016
175.7,robot1,-0.726006,38.2895
175.7,robot3,-2.72698,1.2247
175.7,robot3,-2.72698,1.2247
175.7,robot1,-0.726006,38.2895
175.7,robot2,-1.72501,1.2016
175.7,robot2,-1.72501,1.2016
175.7,robot1,-0.726007,38.2895
175.7,robot3,-2.72698,1.2247
175.7,robot3,-2.72698,1.2247
175.7,robot1,-0.726007,38.2895
175.7,robot2,-1.72501,1.2016
175.7,robot2,-1.72501,1.2016
175.7,robot1,-0.726007,38.2895
175.7,robot3,-2.72698,1.2247
175.7,robot3,-2.72698,1.2247
175.7,robot1,-0.726007,38.2895
175.7,robot2,-1.72501,1.2016
175.7,robot2,-1.72501,1.2016
175.7,robot1,-0.726007,38.2895
175.7,robot3,-2.72698,1.2247
175.7,robot3,-2.72698,1.2247
175.8,robot1,-0.726,38.2895
175.8,robot2,-1.725,1.20108
175.8,robot2,-1.725,1.20108
175.8,robot1,-0.726,38.2895
175.8,robot3,-2.72699,1.22471
175.8,robot3,-2.72699,1.22471
175.8,robot1,-0.726,38.2895
175.8,robot2,-1.725,1.20108
175.8,robot2,-1.725,1.20108
175.8,robot1,-0.726,38.2895
175.8,robot3,-2.72699,1.22471
175.8,robot3,-2.72699,1.22471
175.8,robot1,-0.726,38.2895
175.8,robot2,-1.725,1.20108
175.8,robot2,-1.725,1.20108
175.8,robot1,-0.726,38.2895
175.8,robot3,-2.72699,1.22471
175.8,robot3,-2.72699,1.22471
175.8,robot1,-0.726,38.2895
175.8,robot2,-1.725,1.20108
175.8,robot2,-1.725,1.20108
175.8,robot1,-0.726,38.2895
175.8,robot3,-2.72699,1.22471
175.8,robot3,-2.72698,1.22564
175.8,robot1,-0.726,38.2895
175.8,robot2,-1.725,1.20108
175.8,robot2,-1.725,1.20108
175.8,robot1,-0.726,38.2895
175.8,robot3,-2.72698,1.22564
175.8,robot3,-2.72698,1.22564
175.8,robot1,-0.726,38.2895
175.8,robot2,-1.725,1.20108
175.8,robot2,-1.725,1.20108
175.8,robot1,-0.726,38.2895
175.8,robot3,-2.72698,1.22564
175.8,robot3,-2.72698,1.22564
175.8,robot1,-0.726,38.2895
175.8,robot2,-1.725,1.20108
175.8,robot2,-1.725,1.20242
175.8,robot1,-0.726,38.2895
175.8,robot3,-2.72698,1.22564
175.8,robot3,-2.72698,1.22564
175.8,robot1,-0.726,38.2895
175.8,robot2,-1.725,1.20242
175.8,robot2,-1.725,1.20242
175.8,robot1,-0.726001,38.2895
175.8,robot3,-2.72698,1.22564
175.8,robot3,-2.72698,1.22564
175.8,robot1,-0.726001,38.2895
175.8,robot2,-1.725,1.20242
175.8,robot2,-1.725,1.20242
175.8,robot1,-0.726001,38.2895
175.8,robot3,-2.72698,1.22564
175.8,robot3,-2.72698,1.22564
175.8,robot1,-0.726001,38.2895
175.8,robot2,-1.725,1.20242
175.8,robot2,-1.725,1.20242
175.8,robot1,-0.726001,38.2895
175.8,robot3,-2.72698,1.22564
175.8,robot3,-2.72698,1.22564
175.8,robot1,-0.726001,38.2895
175.9,robot2,-1.725,1.20242
175.9,robot1,-0.726001,38.2895
175.9,robot2,-1.725,1.20242
175.9,robot3,-2.727,1.226
175.9,robot3,-2.727,1.226
175.9,robot1,-0.725992,38.2894
175.9,robot2,-1.72498,1.20024
175.9,robot1,-0.725992,38.2894
175.9,robot2,-1.72498,1.20024
175.9,robot3,-2.727,1.226
175.9,robot3,-2.727,1.226
175.9,robot1,-0.725992,38.2894
175.9,robot2,-1.72498,1.20024
175.9,robot2,-1.72498,1.20024
175.9,robot1,-0.725992,38.2894
